주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
미미위강남세움센터,서울특별시 강남구 수서동  721,강남구,수서동,11680115,49.0,37.4870589149,127.1069009892,KOTSA,U_UPIS,사회복지시설,사회복지시설,,옥내,49.0,0.0,,,,,
국민건강보험공단 서울요양원,서울특별시 강남구 세곡동  520,강남구,세곡동,11680111,37.0,37.4613142215,127.1040340245,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200512299421,혼합,27.0,10.0,,,,,
강남구립 행복요양병원,서울특별시 강남구 세곡동  521,강남구,세곡동,11680111,113.0,37.4611454226,127.1033601257,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200512299421,옥내,113.0,0.0,,,,,
한강홍수통제소 청사,서울특별시 서초구 반포동  751,서초구,반포동,11650107,37.0,37.5038968768,126.9807782891,KOTSA,U_UPIS,공공청사,공공청사,,혼합,28.0,9.0,,,,,
하나푸르니어린이집,서울특별시 서초구 반포동  53-6,서초구,반포동,11650107,18.0,37.5012814223,127.0108432182,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC201011115585,옥내,18.0,0.0,,,,,
서울중앙지방법원 등기국 청사,서울특별시 서초구 서초동  1707-4,서초구,서초동,11650108,71.0,37.4936915289,127.0085895651,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200907093572,옥내,71.0,0.0,,,,,
방배노인종합복지관,서울특별시 서초구 방배동  455-11,서초구,방배동,11650101,16.0,37.4807845471,126.9827831234,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200605110036,옥외,0.0,16.0,,,,,
서울가정행정법원청사,서울특별시 서초구 양재동  25-3,서초구,양재동,11650102,303.0,37.4812523507,127.0363107859,KOTSA,U_UPIS,공공청사,공공청사,,옥내,303.0,0.0,,,,,
구립서초 노인요양센터,서울특별시 서초구 서초동  380-4,서초구,서초동,11650108,29.0,37.4817887481,127.0246882549,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200809042160,옥외,0.0,98.0,한우리문화센터,49.0,,,
한국예술종합학교,서울특별시 서초구 서초동  1753,서초구,서초동,11650108,87.0,37.4776498273,127.0104463682,KOTSA,U_UPIS,문화시설,문화시설,11000NTC201709288298,옥외,0.0,87.0,,,,,
